cID_DI,BP,RI,sense,DVG_type,length_dvg,mean_read_counts,std_read_counts,mean_rpht,std_rpht,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector
++_25649_25308,25649,25308,++,Insertion_forward,30245,15.5,3.5,5.267527381433002,1.2618393043635634,12,0.0111731843575419,0.005298013245033113,4.005688077069439,19,0.01757631822386679,0.005338078291814947,6.529366685796566
++_2590_23882,2590,23882,++,Deletion_forward,8612,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0029850746268656717,0.0007552870090634441,0.3338073397557865,1,0.002976190476190476,0.0007541478129713424,0.3436508781998192
++_26783_26821,26783,26821,++,Deletion_forward,29866,6.0,2.0,2.0225311154227845,0.6479276026235077,8,0.004181913225300575,0.004553215708594195,2.670458718046292,4,0.002073613271124935,0.004519774011299435,1.3746035127992768
++_27451_27577,27451,27577,++,Deletion_forward,29778,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0003980891719745223,0.00980392156862745,0.3338073397557865,1,0.0003971405877680699,0.00980392156862745,0.3436508781998192
++_2764_2425,2764,2425,++,Insertion_forward,30243,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.002793296089385475,0.0009250693802035153,0.3338073397557865,1,0.002785515320334262,0.0009233610341643582,0.3436508781998192
++_28551_28569,28551,28569,++,Deletion_forward,29886,4.5,2.5,1.511976567345072,0.8246748109454337,7,0.0023874488403819918,0.002325581395348837,2.336651378290506,2,0.0006839945280437756,0.0023232658479920344,0.6873017563996384
++_28698_28431,28698,28431,++,Insertion_forward,30171,13.5,12.5,4.634365086475543,4.300557746719757,1,0.0003920031360250882,0.0002465483234714004,0.3338073397557865,26,0.01015228426395939,0.0002495632642874969,8.9349228331953
++_28810_28378,28810,28378,++,Insertion_forward,30336,12.0,5.0,4.089358153843716,1.7527067755532106,7,0.03783783783783784,0.0022943297279580466,2.336651378290506,17,0.08900523560209424,0.002280873248615184,5.842064929396927
++_29015_28297,29015,28297,++,Insertion_forward,30622,6.5,0.5,2.204200092966727,0.20135605443200744,6,0.004662004662004662,0.0017472335468841002,2.0028440385347195,7,0.005451713395638629,0.0017457084666860634,2.4055561473987344
++_3956_4285,3956,4285,++,Deletion_forward,29575,8.5,4.5,2.857049464812251,1.4824459520129742,13,0.02448210922787194,0.006974248927038627,4.339495416825225,4,0.006932409012131715,0.006977992485238862,1.3746035127992768
++_3957_3410,3957,3410,++,Insertion_forward,30451,62.0,27.0,21.13409252561822,9.450835634165692,35,0.06903353057199212,0.024407252440725245,11.68325689145253,89,0.1636029411764706,0.024407252440725245,30.584928159783914
++_4206_3903,4206,3903,++,Insertion_forward,30207,10.5,6.5,3.5246641443238245,2.1500606315245476,17,0.010107015457788348,0.030685920577617327,5.674724775848372,4,0.002365464222353637,0.030575539568345324,1.3746035127992768
++_4445_4512,4445,4512,++,Deletion_forward,29837,8.0,3.0,2.7245981794884724,1.0555614807095395,5,0.006105006105006105,0.005841121495327103,1.6690366987789327,11,0.013365735115431349,0.005847953216374269,3.7801596601980116
++_6327_27785,6327,27785,++,Deletion_forward,8446,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0021413276231263384,0.009523809523809525,0.3338073397557865,1,0.0021413276231263384,0.009708737864077669,0.3436508781998192
++_72_10643,72,10643,++,Deletion_forward,19333,6.0,4.0,2.0520617307548825,1.3844470512433096,2,0.0021231422505307855,0.007518796992481203,0.667614679511573,10,0.01297016861219196,0.007547169811320755,3.4365087819981923
++_75_27047,75,27047,++,Deletion_forward,2932,45.5,18.5,15.503227189097334,6.490429015691096,27,0.027300303336703743,0.08544303797468354,9.012798173406237,64,0.07814407814407814,0.08463949843260188,21.99365620478843
++_75_28266,75,28266,++,Deletion_forward,1713,342.0,154.0,116.6033077305991,53.84752785651123,188,0.19009100101112233,0.059138093740169866,62.75577987408787,496,0.6056166056166056,0.0589157004073958,170.45083558711033
++_76_26480,76,26480,++,Deletion_forward,3500,22.5,10.5,7.673083528831738,3.667395451762298,12,0.016238159675236806,0.012486992715920915,4.005688077069439,33,0.04526748971193416,0.012474012474012475,11.340478980594035
++_77_26245,77,26245,++,Deletion_forward,3736,11.5,3.5,3.9126109455217906,1.2421522274754981,8,0.0110803324099723,0.005578800557880056,2.670458718046292,15,0.020833333333333332,0.005547850208044383,5.1547631729972885
++_8498_7963,8498,7963,++,Insertion_forward,30439,2.5,1.5,0.8394401186114826,0.49578924041166345,4,0.0035056967572304996,0.002570694087403599,1.335229359023146,1,0.0008718395815170009,0.0025823111684958036,0.3436508781998192
+-_11060_11052,11060,11052,+-,5cb/sb,22112,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.000482392667631452,0.00048216007714561236,0.3338073397557865,1,0.00048262548262548264,0.000484027105517909,0.3436508781998192
+-_11064_11073,11064,11073,+-,5cb/sb,22137,3.0,2.0,1.0260308653774413,0.6922235256216548,1,0.0006435006435006435,0.0007507507507507507,0.3338073397557865,5,0.003201024327784891,0.0007434944237918215,1.7182543909990962
+-_11069_10784,11069,10784,+-,5cb/sb,21853,1.5,0.5,0.5056327788556961,0.16198190065587692,2,0.0015151515151515152,0.0012055455093429777,0.667614679511573,1,0.0007507507507507507,0.0012040939193257074,0.3436508781998192
+-_11559_11660,11559,11660,+-,5cb/sb,23219,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0006024096385542169,0.0003837298541826554,0.3338073397557865,1,0.0006016847172081829,0.0003843197540353574,0.3436508781998192
+-_11679_11670,11679,11670,+-,5cb/sb,23349,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0004048582995951417,0.0004253509145044662,0.3338073397557865,1,0.00040290088638195,0.00042517006802721087,0.3436508781998192
+-_12100_12078,12100,12078,+-,5cb/sb,24178,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.00041684035014589413,0.00042426813746287653,0.3338073397557865,1,0.00041649312786339027,0.000423728813559322,0.3436508781998192
+-_12163_12140,12163,12140,+-,5cb/sb,24303,1.5,0.5,0.5056327788556961,0.16198190065587692,2,0.0006653359946773121,0.0007312614259597807,0.667614679511573,1,0.0003325573661456601,0.0007331378299120235,0.3436508781998192
+-_12474_12489,12474,12489,+-,5cb/sb,24963,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.000547645125958379,0.0006587615283267457,0.3338073397557865,1,0.0005506607929515419,0.000657030223390276,0.3436508781998192
+-_1314_1337,1314,1337,+-,5cb/sb,2651,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0007651109410864575,0.0017391304347826088,0.3338073397557865,1,0.0007704160246533128,0.0017391304347826088,0.3436508781998192
+-_13968_13984,13968,13984,+-,5cb/sb,27952,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0004734848484848485,0.0005515719801434088,0.3338073397557865,1,0.0004789272030651341,0.0005509641873278236,0.3436508781998192
+-_1624_1613,1624,1613,+-,5cb/sb,3237,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.000388651379712398,0.0004149377593360996,0.3338073397557865,1,0.0003883495145631068,0.0004152823920265781,0.3436508781998192
+-_16510_16495,16510,16495,+-,5cb/sb,33005,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.005128205128205128,0.003787878787878788,0.3338073397557865,1,0.0051813471502590676,0.0038461538461538464,0.3436508781998192
+-_19471_19448,19471,19448,+-,5cb/sb,38919,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.004366812227074236,0.004424778761061947,0.3338073397557865,1,0.004347826086956522,0.004424778761061947,0.3436508781998192
+-_23833_23847,23833,23847,+-,5cb/sb,47680,2.0,1.0,0.6823799871776222,0.34857264742183564,1,0.0008278145695364238,0.0008210180623973727,0.3338073397557865,3,0.0024896265560165973,0.0008163265306122449,1.0309526345994577
+-_24269_24250,24269,24250,+-,5cb/sb,48519,1.5,0.5,0.5105545480777125,0.17674720832192595,1,0.000792393026941363,0.0008305647840531562,0.3338073397557865,2,0.001579778830963665,0.0008285004142502071,0.6873017563996384
+-_24387_21159,24387,21159,+-,5cb/sb,45546,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0008984725965858042,0.0030864197530864196,0.3338073397557865,1,0.0008960573476702509,0.003125,0.3436508781998192
+-_2520_2499,2520,2499,+-,5cb/sb,5019,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0008481764206955047,0.0009345794392523365,0.3338073397557865,1,0.0008488964346349745,0.0009345794392523365,0.3436508781998192
+-_25659_25648,25659,25648,+-,5cb/sb,51307,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0019230769230769232,0.0009276437847866419,0.3338073397557865,1,0.0019230769230769232,0.0009225092250922509,0.3436508781998192
+-_26578_26589,26578,26589,+-,5cb/sb,53167,5.0,4.0,1.7133326217770797,1.3795252820212933,1,0.0006277463904582549,0.0006079027355623101,0.3338073397557865,9,0.005649717514124294,0.0006056935190793458,3.092857903798373
+-_5131_5106,5131,5106,+-,5cb/sb,10237,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.005025125628140704,0.004830917874396135,0.3338073397557865,1,0.005025125628140704,0.004830917874396135,0.3436508781998192
+-_6860_6851,6860,6851,+-,5cb/sb,13711,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.000945179584120983,0.0008045052292839903,0.3338073397557865,1,0.0009433962264150943,0.0008071025020177562,0.3436508781998192
+-_8645_8661,8645,8661,+-,5cb/sb,17306,1.5,0.5,0.5105545480777125,0.17674720832192595,1,0.0016181229773462784,0.010638297872340425,0.3338073397557865,2,0.0032948929159802307,0.011111111111111112,0.6873017563996384
+-_8650_8661,8650,8661,+-,5cb/sb,17311,4.5,2.5,1.5365854134551538,0.8689707339435806,2,0.005479452054794521,0.02127659574468085,0.667614679511573,7,0.019553072625698324,0.022222222222222223,2.4055561473987344
+-_9640_9851,9640,9851,+-,5cb/sb,19491,1.5,0.5,0.5056327788556961,0.16198190065587692,2,0.0012135922330097086,0.006389776357827476,0.667614679511573,1,0.0006056935190793458,0.006472491909385114,0.3436508781998192
+-_9859_9632,9859,9632,+-,5cb/sb,19491,1.5,0.5,0.5056327788556961,0.16198190065587692,2,0.0125,0.0013236267372600927,0.667614679511573,1,0.006211180124223602,0.001321003963011889,0.3436508781998192
-+_10466_10459,10466,10459,-+,3cb/sb,38883,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0038461538461538464,0.004,0.3338073397557865,1,0.0038461538461538464,0.00398406374501992,0.3436508781998192
-+_11009_11008,11009,11008,-+,3cb/sb,37791,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0006802721088435374,0.0006640106241699867,0.3338073397557865,1,0.0006802721088435374,0.0006648936170212766,0.3436508781998192
-+_11018_11011,11018,11011,-+,3cb/sb,37779,1.5,0.5,0.5105545480777125,0.17674720832192595,1,0.0005701254275940707,0.0005780346820809249,0.3338073397557865,2,0.001142204454597373,0.000578368999421631,0.6873017563996384
-+_11555_11573,11555,11573,-+,3cb/sb,36680,2.5,0.5,0.8492836570555153,0.18166897754394234,2,0.0011723329425556857,0.0010400416016640667,0.667614679511573,3,0.0017533606078316774,0.0010438413361169101,1.0309526345994577
-+_11556_28090,11556,28090,-+,3cb/sb,20162,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0005858230814294083,0.0004280821917808219,0.3338073397557865,1,0.0005847953216374269,0.0004288164665523156,0.3436508781998192
-+_11840_11684,11840,11684,-+,3cb/sb,36284,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0005813953488372093,0.0006389776357827476,0.3338073397557865,1,0.000580046403712297,0.0006345177664974619,0.3436508781998192
-+_11864_11881,11864,11881,-+,3cb/sb,36063,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0007251631617113851,0.00044742729306487697,0.3338073397557865,1,0.000724112961622013,0.0004488330341113106,0.3436508781998192
-+_13934_13925,13934,13925,-+,3cb/sb,31949,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0005385029617662897,0.0006112469437652812,0.3338073397557865,1,0.0005417118093174431,0.0006067961165048543,0.3436508781998192
-+_15674_15694,15674,15694,-+,3cb/sb,28440,2.0,1.0,0.6823799871776222,0.34857264742183564,1,0.00040966816878328555,0.0004100041000410004,0.3338073397557865,3,0.001226993865030675,0.00040933278755628325,1.0309526345994577
-+_15686_15682,15686,15682,-+,3cb/sb,28440,2.0,1.0,0.6823799871776222,0.34857264742183564,1,0.0004180602006688963,0.00041356492969396195,0.3338073397557865,3,0.0012422360248447205,0.0004123711340206186,1.0309526345994577
-+_19205_19223,19205,19223,-+,3cb/sb,21380,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0005694760820045558,0.0005906674542232723,0.3338073397557865,1,0.0005668934240362812,0.0005920663114268798,0.3436508781998192
-+_19549_19566,19549,19566,-+,3cb/sb,20693,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.005208333333333333,0.00234192037470726,0.3338073397557865,1,0.005208333333333333,0.002347417840375587,0.3436508781998192
-+_20833_20855,20833,20855,-+,3cb/sb,18120,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0003485535029627048,0.0003980891719745223,0.3338073397557865,1,0.0003480682213713888,0.0004008016032064128,0.3436508781998192
-+_21358_21378,21358,21378,-+,3cb/sb,17072,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.005952380952380952,0.004629629629629629,0.3338073397557865,1,0.005988023952095809,0.004672897196261682,0.3436508781998192
-+_21658_21669,21658,21669,-+,3cb/sb,16481,2.5,1.5,0.8542054262775317,0.5203980865217451,1,0.007936507936507936,0.001589825119236884,0.3338073397557865,4,0.032,0.001610305958132045,1.3746035127992768
-+_21659_21670,21659,21670,-+,3cb/sb,16479,11.5,10.5,3.947063330075905,3.6132559903201185,1,0.007874015748031496,0.0012468827930174563,0.3338073397557865,22,0.1746031746031746,0.0012658227848101266,7.560319320396023
-+_23122_23135,23122,23135,-+,3cb/sb,13551,1.5,0.5,0.5105545480777125,0.17674720832192595,1,0.020833333333333332,0.001610305958132045,0.3338073397557865,2,0.041666666666666664,0.0016339869281045752,0.6873017563996384
-+_2513_2508,2513,2508,-+,3cb/sb,54787,2.0,0.0,0.6774582179556057,0.009843538444032685,2,0.0018484288354898336,0.0019065776930409914,0.667614679511573,2,0.0018501387604070306,0.0019047619047619048,0.6873017563996384
-+_26142_26194,26142,26194,-+,3cb/sb,7472,1.5,0.5,0.5056327788556961,0.16198190065587692,2,0.0024875621890547263,0.002751031636863824,0.667614679511573,1,0.0012406947890818859,0.0027472527472527475,0.3436508781998192
-+_26213_26208,26213,26208,-+,3cb/sb,7387,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0011312217194570137,0.0011402508551881414,0.3338073397557865,1,0.0011325028312570782,0.0011376564277588168,0.3436508781998192
-+_26521_26539,26521,26539,-+,3cb/sb,6748,2.0,0.0,0.6774582179556057,0.009843538444032685,2,0.0022026431718061676,0.001326259946949602,0.667614679511573,2,0.0022123893805309734,0.0013395847287340924,0.6873017563996384
-+_27785_27798,27785,27798,-+,3cb/sb,4225,6.5,4.5,2.2238871698547924,1.5562724903432192,2,0.01904761904761905,0.003929273084479371,0.667614679511573,11,0.10679611650485436,0.003968253968253968,3.7801596601980116
-+_29057_29050,29057,29050,-+,3cb/sb,1701,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0005515719801434088,0.0005599104143337066,0.3338073397557865,1,0.0005506607929515419,0.0005586592178770949,0.3436508781998192
-+_29288_29306,29288,29306,-+,3cb/sb,1214,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0005112474437627812,0.0004887585532746823,0.3338073397557865,1,0.0005102040816326531,0.00048756704046806434,0.3436508781998192
-+_4055_4065,4055,4065,-+,3cb/sb,51688,3.5,2.5,1.197856304477351,0.8640489647215644,1,0.001984126984126984,0.0013089005235602095,0.3338073397557865,6,0.011881188118811881,0.001314060446780552,2.0619052691989155
-+_4222_4193,4222,4193,-+,3cb/sb,51393,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0006108735491753207,0.0005506607929515419,0.3338073397557865,1,0.0006097560975609756,0.0005506607929515419,0.3436508781998192
-+_4321_4318,4321,4318,-+,3cb/sb,51169,2.0,0.0,0.6774582179556057,0.009843538444032685,2,0.0011142061281337048,0.0012012012012012011,0.667614679511573,2,0.0011185682326621924,0.0012012012012012011,0.6873017563996384
-+_5867_5884,5867,5884,-+,3cb/sb,48057,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.006896551724137931,0.003134796238244514,0.3338073397557865,1,0.006944444444444444,0.0031446540880503146,0.3436508781998192
-+_7306_7318,7306,7318,-+,3cb/sb,45184,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0036496350364963502,0.002932551319648094,0.3338073397557865,1,0.0036496350364963502,0.0029411764705882353,0.3436508781998192
-+_7944_7960,7944,7960,-+,3cb/sb,43904,1.5,0.5,0.5105545480777125,0.17674720832192595,1,0.0006915629322268327,0.0006060606060606061,0.3338073397557865,2,0.001379310344827586,0.0006067961165048543,0.6873017563996384
-+_901_868,901,868,-+,3cb/sb,58039,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.00039984006397441024,0.0003965107057890563,0.3338073397557865,1,0.0003990422984836393,0.0003961965134706815,0.3436508781998192
-+_944_960,944,960,-+,3cb/sb,57904,1.5,0.5,0.5105545480777125,0.17674720832192595,1,0.00036886757654002215,0.0004288164665523156,0.3338073397557865,2,0.0007363770250368188,0.000429553264604811,0.6873017563996384
-+_9478_9489,9478,9489,-+,3cb/sb,40841,7.0,5.0,2.395712608954702,1.728097929443129,2,0.005305039787798408,0.0021436227224008574,0.667614679511573,12,0.029411764705882353,0.0021208907741251328,4.123810538397831
--_18381_18986,18381,18986,--,Insertion_reverse,30509,10.0,9.0,3.3429951667798816,2.9993442885800627,19,0.013380281690140845,0.01065619742007852,6.342339455359944,1,0.0006944444444444445,0.010638297872340425,0.3436508781998192
--_20864_20845,20864,20845,--,Deletion_reverse,29885,4.5,2.5,1.511976567345072,0.8246748109454337,7,0.0030877812086457872,0.002560351133869788,2.336651378290506,2,0.0008795074758135445,0.0025678650036683784,0.6873017563996384
--_26468_64,26468,64,--,Deletion_reverse,3500,2.0,0.0,0.6774582179556057,0.009843538444032685,2,0.001951219512195122,0.00205761316872428,0.667614679511573,2,0.0019267822736030828,0.002628120893561104,0.6873017563996384
--_27041_69,27041,69,--,Deletion_reverse,2932,1.5,0.5,0.5056327788556961,0.16198190065587692,2,0.007142857142857143,0.002105263157894737,0.667614679511573,1,0.0032258064516129032,0.00258732212160414,0.3436508781998192
--_28255_64,28255,64,--,Deletion_reverse,1713,16.0,9.0,5.375369820646698,2.9698136732479643,25,0.008325008325008326,0.0257201646090535,8.345183493894663,7,0.002184769038701623,0.0328515111695138,2.4055561473987344
--_28345_28710,28345,28710,--,Insertion_reverse,30269,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.00030432136335970786,0.0004137360364087712,0.3338073397557865,1,0.00030321406913280777,0.00041220115416323167,0.3436508781998192
--_28431_28698,28431,28698,--,Insertion_reverse,30171,2.0,0.0,0.6774582179556057,0.009843538444032685,2,0.0004930966469428008,0.0007840062720501764,0.667614679511573,2,0.0004991265285749938,0.0007809449433814916,0.6873017563996384
--_4282_3953,4282,3953,--,Deletion_reverse,29575,5.5,4.5,1.8408621378788423,1.497211259679023,10,0.005319148936170213,0.01845018450184502,3.3380733975578654,1,0.0005274261603375527,0.01730103806228374,0.3436508781998192
